persuade |  v. 说服 vt. 劝说,说服
privilege |  n. 特权,特别恩典,基本人权,荣幸 // vt. 给特权,免除
privileged |  adj.享有特权的；特许的，专用的；秘密的，保密的；幸运的，荣幸的
underprivileged |  adj. 贫穷的
graphic |  adj. 生动的,图表的 // n. 图表
leisure |  n. 闲暇；空闲；安逸 // adj. 空闲的；有闲的；业余的
assistance |  n. 帮助, 援助
guideline |  n. 指引，指导方针
abomination |  n. 憎恨, 痛恶, 可憎的事物
abortion |  n. 流产,堕胎
acclimatize |  v. 使...适应新环境, 使...服水土
adventurous |  adj. 爱冒险的,大胆的,危险的
adolescence |  n. 青春期
aggression |  n. 进攻, 侵犯, 侵害, 侵略
ambition |  n. 雄心,野心,抱负,精力 // vt. 有...野心,追求
atrocity |  n. 暴行
avarice |  n. 贪财, 贪婪
avocation |  n.娱乐，消遣，副业, 嗜好
bawdry |  n. 淫猥下流的言语，不贞
bereave |  v. 剥夺
bias |  n. 偏见，斜纹 // vt. 使偏心
bully |  n. 欺凌弱小者,土霸,开球 // vt. 威胁,恐吓,欺负 // adj. 第一流的；特好的
cartoon |  n. 动画片 // vt. 为...画漫画
coeducation |  n. 男女同校
commiserate |  v. 怜悯, 同情
companionship |  n. 友谊, 陪侣关系，交情
condone |  vt. 宽恕；赦免
conscience |  n. 良心, 责任心, 顾忌
decency |  n. 得体, 礼貌，体面 // （复数）decencies:礼仪，行为规范
deify |  vt. 神化，把…当作神来崇拜或敬畏，崇拜
disgrace |  n. 耻辱, 不名誉 // v. 耻辱, 使...失体面
dishonesty |  n. 不诚实，不法行为
dupe |  n. 受骗的人, 上当者 // vt. 欺骗, 愚弄
ego |  n. 自我, 自负, 自尊心
envy |  vt. &vi. 嫉妒,羡慕 // n. 妒忌,羡慕
erode |  vt. 腐蚀,侵蚀 // vi. 受到侵蚀
erotic |  adj. 性爱的, 性欲的, 色情的 // n. 好色之徒, 恋爱诗
euthanasia |  n. 安乐死
falsehood |  n. 谎言, 虚假
forgiving |  adj. 宽容的,  宽恕的  // 动词forgive的现在分词
handicraft |  n. 手工艺, 手艺, 技巧
heartless |  adj. 无情的, 残酷的 // adj.
heirloom |  n. 传家宝，[法律]动产继承物
homosexual |  adj. 同性恋的 // n. 同性恋
hypocrisy |  n. 伪善
immorality |  n. 不道德, 无道义
infiltrate |  v.（使）渗透，（使）渗入
ingratitude |  n. 忘恩负义
insidious |  adj. 隐伏的, 暗中为害的，阴险的, 诱人上当的，（疾病等）不知不觉恶化的
lenient |  adj. 宽大的, 仁慈的
lewd |  adj. 淫荡的
libel |  n. (文字)诽谤, 侮辱 // vt. 诽谤, 中伤, 损害名誉 // vi. 发表诽谤言论
loyalty |  n. 忠诚, 忠心
maltreat |  vt. 虐待
merciless |  adj. 无慈悲心的, 残忍的
modish |  adj. 流行的, 时髦的
money-oriented |  一切向钱看
moribund |  adj. 垂死的，即将结束的
national |  adj. 国家的,民族的 // n. 国民
obedience |  n. 服从, 顺从
obscenity |  n. 猥亵的话(或行为)
orthodox |  adj. 正(传)统的
outdated |  adj. 旧式的,落伍的,过时的 // v. 使时 // vbl. 过时
piety |  n. 虔诚
profanity |  n. 沾污神圣不敬,亵渎,该受惩罚的言语
promiscuity |  n. 混乱, 杂乱, 放荡
propagandize |  v. 宣传，传教，传道
quintessence |  n. 精粹,(物体)最纯粹的形体,典型
reciprocate |  v. 互换, 交换, 报答，往返运动
relic |  n. 神圣的遗物, 遗迹, 纪念物
seduce |  vt. 怂恿,瞒骗,引诱
slander |  n. 中伤, 毁谤 // v. 中伤, 毁谤
tabloid |  n. 小型报, 小型画报, 药片 // adj. 扼要的
taboo |  n. 禁忌,禁止接近,禁止使用 // adj. 禁忌的 // vt. 禁忌,禁制,禁止
tribal |  adj. 部落的, 种族的
unethical |  adj. 不道德的, 缺乏职业道德的
vice |  n. 恶习,恶行,罪恶,缺陷,恶癖,老虎钳 // vt. 钳住 // prep. 代替,副,次
vile |  adj. 恶劣的, 简陋的, 低廉的
westernize |  v.使 ... 西洋化,使 ... 欧化
hectare |  n. 公顷
cohesion |  n. 凝聚力, 团结
landmark |  n. 陆标, 划时代的事, 地界标
insulate |  v. 使...绝缘, 隔离 // [计算机] 绝缘
possess |  v. 持有,克制,为...着迷
possessed |  adj. 疯狂的；着魔的
possession |  n. 财产, 所有, 拥有
possessive |  n. 所有格 // adj. 所有格的,拥有的，占有的
dispossessed |  adj. 被剥夺财产的
comparatively |  adv. 比较地,相当地,多少
perform |  v. 执行, 表演, 做
performance |  n.表演； 演技； 表现； 执行
performer |  n. 表演者, 执行者
stake |  n. 木桩,赌注,股份 // vt. 打赌,下赌注；用桩支撑
strain |  n. 张力；拉紧；负担；扭伤；血缘 // vi. 拉紧；尽力 // vt. 拉紧；滥用；滤去；竭力
flavor |  n. 滋味, 香料, 风格 // vt. 加味于
assign |  v. 分配,指派 // n.[计算机] DOS 命令将驱动器符重指向第二个驱动器符
herbivore |  n. 草食动物
circulation |  n. 流通,循环,发行量,消息传播
flow |  vi.流； 垂； 流出； （谈话、文体等）流畅 // n.流动； 滔滔不绝； 涨潮； 连贯 // vt.使泛滥； 淹没； 排出
snack |  n. 小吃,点心 // v. 吃零食,吃点心
sole |  adj. 唯一的, 独占的 // n. 脚底, 鞋底; sole 或soles 鳎鱼 // vt. 给(鞋)换底
premium |  n. 额外费用, 奖金; 奖品保险费 // n. (商)溢价 // adj. 高价的; 优质的
discount |  n. 折扣, 贴现率 // vt. 打折扣, 贴现, 不重视，不全信 // vi. 贴现, 减息贷款
capacity |  n. 能力, 容量, 容积; 资格, 职位 // adj. (达到最大容量)满的
poisonous |  adj. 有毒的
content |  n. 内容, 目录, 含量 // adj. 满足的, 满意的 // vt. 使...满足, 使...安心
contentment |  n. 满足，使人满足的事
discontented |  adj. 不满意的 // 动词discontent的过去式和过去分词
contented |  adj. 满足的, 心安的 // 动词content的过去式和过去分词形式
artificial |  adj. 人造的,虚伪的,武断的
compromise |  n. 妥协, 折衷, 折衷案 // vt. 妥协处理, 危害 // vi. 妥协, 让步
rigorous |  adj. 严厉的,严酷的,严格的,细致的
adapt |  vt. 使适应,改编 // vi. 适应，适合
adaptation |  n. 改编,适应,改编成的作品
adaptable |  adj. 能适应的，适应性强的，可改编的
adaptive |  adj. 适合的,适应的,能适应的
moral |  adj. 道德(上)的,有道德的 // n. 品行,寓意,道德
morality |  n. 道德, 美德, 品行, 道德观
moralism |  n. 道德主义, 说教
moralistic |  adj. 说教的；道学的；道德家的；注意道德的
participate |  vi.参加某事； 分享某事 // vt.得到或接受某部分东西
participation |  n. 参加, 参与
deserve |  vi. 应该得到 // vt. 应受,值得
detach |  vt. 使分离, 拆卸 // [计算机] 脱离
detachable |  adj. 可拆下的, 可分开的
detachment |  n. 分离，分遣，冷漠，公正
disconnect |  vt. 使分离 // vi. 断开，拆开
separate |  n. 分开, 抽印本 // adj. 分开的, 各自的, 单独的 // v. 分开, 隔开, 分居
attach |  v. 附上, 系上, 贴上, 使依恋
unbiased |  adj. 公正的
critical |  adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
cynical |  adj. 愤世嫉俗的,吹毛求疵的
subjective |  adj. 主观的 // n. 主格,主观事物
objective |  adj. 客观的, 目标的 // n. 目标, 目的; 物镜 // n. =objective case 宾语
willing |  adj. 愿意的, 心甘情愿的
spray |  n. 水沫,喷雾器 // vt. &vi. 喷雾,扫射,喷射
insight |  n. 洞察力
insightful |  adj. 富有洞察力的,有深刻见解的
spade |  n. 铲子, 铁锹, 在扑克牌中指黑桃 // v. 铲 // vt. (用铲子)铲
charcoal |  n. 木炭, 炭笔
associate |  vt.（使）发生联系； （使）联合； 结交； 联想 // vi.联盟； 陪伴同事 // n.合伙人； 伴侣，同志； 非正式会员 // adj.联合的； 合伙的； 非正式的； （性质上）有密切联系的
combine |  n. 集团,联合收割机 // v. 化合,结合,联合 // vi. 结合,联合 // vt. 使结合,使联合
join |  v. 参加, 结合, 联合, 加入
refreshment |  n. 恢复，精神爽快，提神之事物；点心，茶点
beverage |  n. 饮料
geometry |  n. 几何,几何学
geometric |  adj. 几何学的, 几何学上的, 几何学图形的
abhorrent |  adj. 令人憎恨的, 可恶的，背离的
activist |  n. 活动分子, 积极分子
amoral |  adj. 与道德无关的, 超道德的
anesthetic |  n. 麻醉剂, 麻药 // adj. 麻醉的, 无知觉的
animal |  n.动物，兽，牲畜； <俚>家畜，牲口； <俚>畜生（一般的人）； 兽性 // adj.动物的； 肉体的； 肉欲的
anthropomorphism |  n. 神人同形同性论
antibiotic |  adj. 抗菌的 // n. 抗生素
brazen |  adj. 黄铜制的,厚颜无耻的 // v. 使...厚颜,使...无耻
bullfighting |  斗牛
chimpanzee |  n. 黑猩猩
clinical |  adj. 临床的
corporal |  adj. 肉体的, 身体的 // n. (陆军或空军)下士
cowardice |  n. 懦弱
dependence |  n. 依赖, 信赖，上瘾
deterrent |  adj. 制止, 防止, 挽留 // n. 挽留的事物, 妨碍物
diffidence |  n. 无自信, 内向, 羞怯
discourteous |  adj. 失礼的, 无礼貌的
disobey |  vi. 违反 // vt. 不服从
disrespect |  n. 不敬, 无礼 // vt. 不尊敬
dropout |  n. 中途退出者
edify |  vt. 建立，训导，教导，启发， 薰陶
egoist |  n. 自我主义者
entice |  v. 诱骗, 引诱
estranged |  adj. 疏远的, 隔离的 // 动词estrange的过去式和过去分词形式
fantastic |  adj. 极好的,难以相信的,奇异的,幻想的
formative |  adj. 形成的, 造形的，影响发展的 // n. 造字要素
gregarious |  adj.  群居的，爱社交的
homesick |  adj. 想家的
idol |  n. 偶像 // n.菩萨
ill-bred |  adj. 没有教养的,  没有礼貌的, 粗野的
illiteracy |  n. 文盲
immature |  adj. 不成熟的
impetuous |  adj. 冲动的, 猛烈的, 轻率的
inappropriate |  adj. 不适当的,不相称的
inculcate |  v. 教授,谆谆教诲,教育
individualism |  n. 个人主义
indoctrinate |  v. 灌输思想，传授
indolent |  adj. 懒惰的，慢性的
inexperience |  n. 无经验, 不熟练
interpersonal |  adj. 人与人之间的,人际关系的
jealousy |  n. 妒忌
law-abiding |  adj. 守法的
malnutrition |  n. 营养不良
misbehave |  v. 行为无礼貌, 行为不端, 作弊
misguide |  vt. 误导, 使误入歧途
myopia |  n. 近视, 缺乏远见
narcotic |  n. 麻醉药, 镇静剂 // adj. 麻醉的, 催眠的
naughty |  adj. 顽皮的,淘气的，粗俗的
obsession |  n.[U]痴迷；困扰,成见 //  [C]使人痴迷的人（或物）
parental |  adj. 父母的
pornography |  n. 色情文学, 色情描写
prodigy |  n. 惊人的事物, 奇迹，神童，天才，预兆
puberty |  n. 青春期
rowdy |  adj. 吵闹的, 粗暴的
savor |  n. 滋味, 气味, 食欲, 特定的味道或气味, 一种有特色的性质 // vi. 有...的滋味, 有...气味 // vt. 加调味品于, 使有风味, 尝到或闻到, 尽情享受
schooling |  n. 学校教育, 学费 // 动词school的现在分词形式
self |  n. 自我, 自己, 本身
sequacious |  adj. 好跟随在别人后头走的, 卑贱的, 合于逻辑的
slothful |  adj. 怠惰的, 懒惰的, 迟钝的
thrift |  adj. 节约, 节俭 // n. 节俭, 节约
traumatize |  vt. 使受损伤，使受精神上创伤
truancy |  n. 逃学, 旷课；玩忽职守
uncivilized |  adj. 未开化的，不文明的 // =uncivilised(英) // 动词uncivilize的过去式和过去分词
unsociable |  adj. 不爱交际的，不与人亲近的，不和气的
vanity |  n. 虚荣心,浮华,无价值的东西 // adj. 虚荣心的
vex |  vt. 恼怒，使恼火
vulgarity |  n. 粗俗, 粗鄙, 卑俗性
willful |  adj. 任性的, 故意的, 有意的
willpower |  n. 意志力
wrongdoer |  n. 做坏事的人，罪犯，违法者
household |  adj. 家庭的, 家喻户晓的 // n. 家庭, 户
evolution |  n. 进化, 发展, 进展
interfere |  vi. 妨碍,冲突,干涉
interference |  n. 冲突, 干涉 // [计算机] 干涉
evolutionary |  adj. 发展的(展开的,调优的)
incentive |  adj. 刺激的, 鼓励的 // n. 刺激, 鼓励, 动机
motivation |  n. 动机
impetus |  n. 动力,推动力
adverse |  adj. 不利的；有害的；反面的
adversity |  n. 不幸, 灾难
database |  n. 数据库
succumb |  v. 屈从, 死
transmit |  vt. 传输, 传送, 代代相传, 传达 // vi. (以无线电或有线电的方式)发送信号
transmitter |  n. 传达人, 发射机，发射台
transmission |  n. 传输, 播送, 变速器, 传递的信息
advanced |  adj. 高级的, 先进的
accompany |  vt. 陪伴, 伴随，给...伴奏 // vi. 伴奏
accompaniment |  n. 伴唱（奏），伴随物, 补充物，伴随情况
accompanist |  n. 伴奏者
confidence |  n.信心； 信任； 秘密
self-confidence |  n. 自信
confident |  adj. 确信的, 自信的
typical |  adj. 典型的, 有代表性的
typically |  adv. 代表性地, 作为特色地
tag |  n. 标签,附属物,名称,谚语 // vt. 附以签条,尾随,添饰,指责,连接 // vi. 紧随,尾随
price |  n. 价格,代价,价值 // vt. 定格,标价,比较价格
brand name |  商标名称，牌子
ingredient |  n. 成分, 因素
invisible |  adj. 看不见的,无形的 // n. 隐形人(或物品)
observe |  v. 观察, 遵守, 注意到
observant |  adj. 观察力敏锐的，守纪的
observation |  n. 观察,观察力,评论 // adj. 被设计用来观察的
observational |  adj. 根据观察的，监视的
differ |  vi. 不一致,不同(意见)
transit |  n. 经过,运输 // vt. 穿越,旋转 // vi. 越过
transition |  n. 过渡,转变
forecast |  n. 预测,预报 // vt. &vi. 预测
transportation |  n. 运输, 运输系统, 运输工具
delivery |  n. 递送, 交付, 分娩
anthropologist |  n. 人类学家
accurate |  adj. 准确的, 精确的
inaccurate |  adj. 不准确的，错误的
accuracy |  n. 准确(性), 精确度
incredible |  adj. 难以置信的, 惊人的
incredibly |  adv. 难以置信地, 不可思议地
incredulity |  n. 不易相信, 深疑, 怀疑心
enroll |  vt. &vi. 登记,使加入,卷起
convince |  vt. 说服, 使...相信
convincing |  adj. 使人信服的, 有力的, 令人心悦诚服的 // vbl. 使...信服, 使...明白
unconvincing |  adj. 不足以令人相信的
fragment |  n. 碎片 // vt. &vi. 变成碎片 // [计算机] 碎片
fragmentary |  adj. 碎片的，碎块的, 碎屑状的, 零碎的, 不完全的
withstand |  vt. 对抗,经得起,承受
regarding |  prep. 关于, 至于
regard |  vt.认为； 注视； 涉及； 尊敬 // vi.凝视； 留意 // n.凝视； 留意； 尊敬； 问候
astronaut |  n. 宇航员
granite |  n. 花岗岩；坚毅；冷酷无情
dismiss |  vt.解雇，把…免职； 遣散，解散（队伍等）； 驳回，拒绝受理； 搁置 // vi.解散
dismissal |  n. 免职, 解雇
dismissive |  adj.拒绝的； 轻蔑的，鄙视的
strengthen |  vt. &vi. 加强,变坚固
entail |  vt. 使必需,使蒙受;限定继承 // n. 限定继承权
scarce |  adj. 缺乏的,不足的,稀少的,罕见的 // adv. 勉强
scarcely |  adv. 几乎不, 简直没有, 勉强
scarcity |  n. 缺乏,不足,缺少
ozone |  n. 臭氧, 新鲜空气
ailment |  n. 小病, 疾病
elaborate |  adj. 精细的, 详尽的, 精心的 // v. 详细地说明, 用心地作, 推敲
atmosphere |  n. 大气, 气氛，空气, 格调, 情趣, 气压
atmospheric |  adj. 大气的，大气层的，制造气氛的
affection |  n. 慈爱,爱,感情,作用,影响
anarchy |  n. 无政府状态, 混乱
apathy |  n. 缺乏感情或兴趣,冷漠
authoritarian |  adj. 权力主义的, 独裁主义的 // n. 独裁主义者，权力主义者
avaricious |  adj. 贪财的, 贪婪的
avid |  adj. 渴望的,贪婪的,热心的
breadwinner |  n. 养家糊口的人.,负担家计的人
breed |  n. 品种,族类 // vt. 养育,繁殖,引起 // vi. 繁殖
bribery | n. 贿赂行为, 行贿, 受贿
childhood |  n. 童年,幼年
commute |  vi. 交换,通勤,折偿 // vt. 交换,减刑,改变付款方式 // n. 乘车上下班,通勤
competitive |  adj. 竞争的, 比赛的
conformity |  n. 适合,一致,相似
copyright |  adj. 版权(的) // n. 版权,著作权
democracy |  n. 民主,民主制,民主国家
discontent |  n. 不满 // adj.不满的 // v.令(人)不满
disparity |  n. 不一致
dissipation |  n. 浪费；消散；[物] 损耗
egalitarian |  adj. 平等主义的 // n. 平等主义者
employment |  n. 工作,职业,雇用,使用
encroach |  v. 侵占,蚕食 // vi. 侵占,侵犯,侵害 // vt. 侵犯
extremism |  n. (政治上)极端主义, 过激论
feminist |  n. 男女平等主义者,女权扩张论者 // adj. 男女平等主义的,女权扩张论的
